first_name,last_name,nickname,wins,losses,draws,belt,height_cm,weight_lbs,reach_in,stance,dob,url,reach,weight,elo
Mariya,Agapova,Money Mashka,10,5,0,False,168,125,68.0,Southpaw,"Apr 07, 1997",http://ufcstats.com/fighter-details/a08ddd04eaffd81d,68,125,1462
Kantharaj,Agasa,Kannadiga,12,3,0,False,,135,,,"Feb 16, 1992",http://ufcstats.com/fighter-details/26f4288e83188c61,,135,1500
Fabio,Aguiar,,17,1,0,False,183,185,,,"Feb 10, 1988",http://ufcstats.com/fighter-details/501821d7fb7b95c1,,185,1500
Marcelo,Aguiar,,2,3,1,False,178,170,,Orthodox,,http://ufcstats.com/fighter-details/44aa652b181bcf68,,170,1481
Edwin,Aguilar,Tigre,26,19,0,False,178,185,,,,http://ufcstats.com/fighter-details/6cadc0a0ba7dc015,,185,1500
Jessica,Aguilar,Jag,20,8,0,False,160,115,63.0,Orthodox,"May 08, 1982",http://ufcstats.com/fighter-details/8f382b3baa954d2a,63,115,1446
Jesus,Aguilar,,11,3,0,False,163,125,62.0,Orthodox,"Mar 13, 1996",http://ufcstats.com/fighter-details/c051c2e12d692b8a,62,125,1518
Kevin,Aguilar,Angel of Death,17,5,0,False,170,155,73.0,Orthodox,"Sep 07, 1988",http://ufcstats.com/fighter-details/cf946e03ba2e7666,73,155,1465
Christian,Aguilera,The Beast,14,8,0,False,175,170,72.0,Switch,"Nov 25, 1991",http://ufcstats.com/fighter-details/ae071698e1a3ccd4,72,170,1481
Nick,Aguirre,Slick,7,2,0,False,175,135,74.0,Southpaw,"Jan 15, 1996",http://ufcstats.com/fighter-details/0978385b2bd9ef9b,74,135,1460
,Agulali,,13,1,0,False,175,125,67.0,Switch,"Apr 07, 2005",http://ufcstats.com/fighter-details/b2efa582adf73604,67,125,1500
Ahejiang,Ailinuer,,15,3,0,False,,145,,,,http://ufcstats.com/fighter-details/ff584c17bccbae0b,,145,1500
Mike,Aina,Iron,14,6,1,False,175,155,,Orthodox,,http://ufcstats.com/fighter-details/9e3dbb9c68ed5d1a,,155,1500
Ashiek,Ajim,Peak Physique,6,2,0,False,173,135,71.0,Switch,"Jun 19, 1994",http://ufcstats.com/fighter-details/49dea784f6cfed71,71,135,1500
Hitomi,Akano,Girlfight Monster,18,10,0,False,163,135,,Southpaw,"Jul 27, 1974",http://ufcstats.com/fighter-details/2eada40ac8801559,,135,1500
Omari,Akhmedov,Wolverine,21,6,1,False,183,185,73.0,Orthodox,"Oct 12, 1987",http://ufcstats.com/fighter-details/16690d100f995f8f,73,185,1577
Yoshihiro,Akiyama,,14,6,0,False,178,170,75.0,Orthodox,"Jul 29, 1975",http://ufcstats.com/fighter-details/b0550072e5f0afa7,75,170,1462
Rostem,Akman,,6,2,0,False,178,170,72.0,Switch,"Dec 19, 1991",http://ufcstats.com/fighter-details/1fc64507a0cb38cf,72,170,1464
Razak,Al-Hassan,,13,5,0,False,188,205,,Orthodox,"May 14, 1982",http://ufcstats.com/fighter-details/38b50fd1e1b5b656,,205,1460
Abdul-Kareem,Al-Selwady,Pride of Palestine,15,4,0,False,173,155,69.0,Orthodox,"Apr 10, 1995",http://ufcstats.com/fighter-details/597499ac7a5aac62,69,155,1480
Mostapha,Al-Turk,,6,6,0,False,188,245,77.0,Orthodox,"Jul 14, 1973",http://ufcstats.com/fighter-details/1cf1310684a841f5,77,245,1446
Ali,AlQaisi,The Royal Fighter,8,5,0,False,168,135,68.0,Orthodox,"Sep 23, 1990",http://ufcstats.com/fighter-details/e87a13e02c01331d,68,135,1459
Herdem,Alacabek,,5,1,0,False,188,205,75.0,Orthodox,"Jun 07, 1991",http://ufcstats.com/fighter-details/7578cc6bd750206b,75,205,1500
Javi,Alanis,,0,4,0,False,168,135,,,,http://ufcstats.com/fighter-details/2144954270be834d,,135,1500
,Alatengheili,The Mongolian Knight,17,10,2,False,165,135,66.0,Orthodox,"Dec 14, 1991",http://ufcstats.com/fighter-details/1897b7b913736a7c,66,135,1531
Amir,Albazi,The Prince,17,2,0,False,165,125,68.0,Orthodox,"Oct 27, 1993",http://ufcstats.com/fighter-details/6d35bf94f7d30241,68,125,1573
Brett,Albee,,3,2,0,False,,225,,,,http://ufcstats.com/fighter-details/9b28292abe3166d5,,225,1500
John,Albert,Prince,6,5,0,False,173,135,68.0,Orthodox,"Oct 13, 1986",http://ufcstats.com/fighter-details/7bd94b60d7521e4a,68,135,1442
Junior,Albini,Baby,14,6,0,False,190,264,74.0,Orthodox,"Mar 15, 1991",http://ufcstats.com/fighter-details/c482c8605455a213,74,264,1450
Wes,Albritton,,0,1,0,False,178,188,,Orthodox,,http://ufcstats.com/fighter-details/184b955181bdef52,,188,1479
Aleksandra,Albu,Stitch,3,2,0,False,157,115,63.0,Orthodox,"Jul 14, 1990",http://ufcstats.com/fighter-details/e76d9f656ceb82ab,63,115,1493
Israel,Albuquerque,,0,3,0,False,,185,,Orthodox,,http://ufcstats.com/fighter-details/dd1b90eea08887f6,,185,1500
Juan,Alcain,,1,2,0,False,,,,,,http://ufcstats.com/fighter-details/39f62b833e4cf126,,,1500
Ildemar,Alcantara,Marajo,21,11,0,False,188,185,78.0,Orthodox,"Nov 18, 1982",http://ufcstats.com/fighter-details/7c6e87729e824ef4,78,185,1508
Iuri,Alcantara,Marajo,35,10,0,False,175,135,71.0,Southpaw,"Aug 04, 1980",http://ufcstats.com/fighter-details/2f95a3c6d58b2aad,71,135,1531
Alfonso,Alcarez,,1,3,1,False,160,145,,,"Jun 10, 1970",http://ufcstats.com/fighter-details/1e38bba6738b7b10,,145,1500
Gilbert,Aldana,El Peligro,6,2,0,False,185,250,,Orthodox,"Aug 25, 1977",http://ufcstats.com/fighter-details/d26934530dc5b248,,250,1462
Hector,Aldana,,4,3,0,False,180,170,72.0,Orthodox,"Aug 17, 1988",http://ufcstats.com/fighter-details/c487223b0289bda9,72,170,1444
Irene,Aldana,,15,8,0,False,175,135,68.0,Orthodox,"Mar 26, 1988",http://ufcstats.com/fighter-details/578ef12674df1e6a,68,135,1558
Jose,Alday,Pochito,14,6,1,False,170,135,68.0,Orthodox,"Sep 14, 1991",http://ufcstats.com/fighter-details/7460ddef986d3144,68,135,1500
Jose,Aldo,,32,10,0,False,170,135,70.0,Orthodox,"Sep 09, 1986",http://ufcstats.com/fighter-details/d0f3959b4a9747e6,70,135,1599
JJ,Aldrich,,14,7,0,False,165,125,67.0,Southpaw,"Sep 29, 1992",http://ufcstats.com/fighter-details/6fd953151d981979,67,125,1551
Irina,Alekseeva,Russian Ronda,5,3,0,False,173,135,67.0,Orthodox,"Jun 27, 1990",http://ufcstats.com/fighter-details/103e2e33a60683e1,67,135,1479
Talita,Alencar,Problem Child,6,1,1,False,155,115,58.0,Orthodox,"Oct 17, 1990",http://ufcstats.com/fighter-details/d35298b6df168456,58,115,1521
Jim,Alers,The Beast,13,3,0,False,175,145,71.0,Orthodox,"Oct 14, 1986",http://ufcstats.com/fighter-details/fe5a9547479396ab,71,145,1479
John,Alessio,The Natural,35,17,0,False,178,155,72.0,Orthodox,"Jul 05, 1979",http://ufcstats.com/fighter-details/7a15f3694c5cbc02,72,155,1418
Houston,Alexander,The Assassin,17,15,1,False,183,205,72.0,Orthodox,"Mar 22, 1972",http://ufcstats.com/fighter-details/0541480fbf719d86,72,205,1461
Kenneth,Alexander,The Machine,7,6,0,False,175,155,,Orthodox,"Sep 25, 1977",http://ufcstats.com/fighter-details/8fd76e1b49c00ae2,,155,1500
Lucas,Alexander,The Lion,8,5,0,False,180,145,73.0,Orthodox,"Jul 28, 1995",http://ufcstats.com/fighter-details/11583163f45c7b31,73,145,1460
Marcio,Alexandre Junior,Lyoto,17,4,0,False,183,185,75.0,Southpaw,"May 05, 1989",http://ufcstats.com/fighter-details/d53482bef23235ba,75,185,1445
Olaf,Alfonso,,8,12,0,False,188,170,,Orthodox,"Aug 06, 1974",http://ufcstats.com/fighter-details/b757c73f443d4fca,,170,1500
Pablo,Alfonso,The Hurricane,9,7,0,False,173,145,,,"May 09, 1983",http://ufcstats.com/fighter-details/4b37a0bc2ab4cae1,,145,1500
Levi,Alford,,1,7,0,False,,,,,,http://ufcstats.com/fighter-details/41b34b7f11f6d085,,,1500
Bill,Algeo,Senor Perfecto,18,9,0,False,183,145,73.0,Switch,"Jun 09, 1989",http://ufcstats.com/fighter-details/9abc648e76c4493a,73,145,1504
Royce,Alger,,3,2,0,False,178,199,,Orthodox,,http://ufcstats.com/fighter-details/669a3cb6e394f515,,199,1461
Amir,Aliakbari,,10,1,0,False,190,250,,,"Jun 10, 1984",http://ufcstats.com/fighter-details/e17770faae3ca54c,,250,1500
Nurullo,Aliev,Tajik Eagle,10,0,0,False,178,155,72.0,Orthodox,"Dec 08, 2000",http://ufcstats.com/fighter-details/ca28cdf526d6b6e9,72,155,1541
Sultan,Aliev,,15,3,0,False,180,170,74.0,Orthodox,"Sep 17, 1984",http://ufcstats.com/fighter-details/e70de1859b7ee78e,74,170,1506
Ikram,Aliskerov,,16,2,0,False,183,185,76.0,Southpaw,"Dec 07, 1992",http://ufcstats.com/fighter-details/b07aed698fba8624,76,185,1553
Leon,Aliu,The Albanian Lion,10,2,0,False,183,185,74.0,Orthodox,"Jul 14, 1989",http://ufcstats.com/fighter-details/6db394bf6c3b017c,74,185,1500
John,Allan,,13,7,0,False,185,205,75.0,Orthodox,"Feb 22, 1993",http://ufcstats.com/fighter-details/6ebe96a116e79e52,75,205,1463
Arnold,Allen,Almighty,20,3,0,False,173,145,70.0,Southpaw,"Jan 22, 1994",http://ufcstats.com/fighter-details/040a74bb0a465c54,70,145,1652
Brendan,Allen,All In,24,7,0,False,188,185,75.0,Orthodox,"Dec 28, 1995",http://ufcstats.com/fighter-details/2f181c0467965b98,75,185,1628
Daniel,Allen,,5,0,0,False,183,155,75.0,Southpaw,"Aug 10, 1992",http://ufcstats.com/fighter-details/adf9a901308fb8e3,75,155,1500
George,Allen,,13,19,2,False,188,205,,Open Stance,"Jan 13, 1967",http://ufcstats.com/fighter-details/1e13936d708bcff7,,205,1500
Ben,Alloway,Blanco,18,8,0,False,180,170,76.0,Orthodox,"Feb 19, 1981",http://ufcstats.com/fighter-details/c4fe2e9a06ea5bcb,76,170,1479
Asu,Almabayev,Zulfikar,21,3,0,False,163,125,65.0,Orthodox,"Jan 25, 1994",http://ufcstats.com/fighter-details/8d3273573b85be09,65,125,1557
Bekzat,Almakhan,The Turan Warrior,12,2,0,False,170,135,68.0,Orthodox,"Oct 08, 1997",http://ufcstats.com/fighter-details/a4dc0f2b95df4cc1,68,135,1505
John Dave,Almanza,The Striker,6,1,0,False,170,125,67.0,Southpaw,"Mar 22, 2004",http://ufcstats.com/fighter-details/088aa1b19b2dc14a,67,125,1500
Cesar,Almeida,Cesinha,7,1,0,False,185,185,74.0,Orthodox,"Mar 28, 1988",http://ufcstats.com/fighter-details/64d47ef881a437a4,74,185,1537
Ericka,Almeida,,7,3,0,False,168,115,,Orthodox,"Mar 05, 1989",http://ufcstats.com/fighter-details/67a992d4cff22466,,115,1461
Estefani,Almeida,,7,3,0,False,163,125,,Orthodox,"Oct 17, 1988",http://ufcstats.com/fighter-details/f16ddfa31236efed,,125,1500
Jailton,Almeida,Malhadinho,22,3,0,False,190,205,79.0,Orthodox,"Jun 26, 1991",http://ufcstats.com/fighter-details/41e83a89929d1327,79,205,1636
Lucas,Almeida,,15,4,0,False,180,145,71.0,Orthodox,"Jan 31, 1991",http://ufcstats.com/fighter-details/710f0f8c5d5c9d41,71,145,1485
Magno,Almeida,,10,3,0,False,183,155,,,"Jun 06, 1985",http://ufcstats.com/fighter-details/d615d6a10a4704cd,,155,1500
Ricardo,Almeida,Big Dog,13,5,0,False,183,170,74.0,Orthodox,"Nov 29, 1976",http://ufcstats.com/fighter-details/91186547a7f3f758,74,170,1531
Thomas,Almeida,Thominhas,22,5,0,False,170,145,70.0,Southpaw,"Jul 31, 1991",http://ufcstats.com/fighter-details/2b074403b7c6cdb4,70,145,1492
Mauricio,Alonso,,13,7,0,False,188,170,,,"Feb 27, 1980",http://ufcstats.com/fighter-details/c6bf75775b278ed8,,170,1500
Sarah,Alpar,Too Sweet,9,6,0,False,163,135,63.0,Southpaw,"Jun 01, 1991",http://ufcstats.com/fighter-details/49b130de1da2e1bf,63,135,1461
Rico,Altamirano,,4,3,0,False,178,170,,,,http://ufcstats.com/fighter-details/c61b49cec6abd6b9,,170,1500
Victor,Altamirano,El Magnifico,12,5,0,False,173,125,70.0,Switch,"Jan 23, 1991",http://ufcstats.com/fighter-details/dc7927cd622676a7,70,125,1457
Mike,Altman,,1,4,0,False,178,185,,Orthodox,,http://ufcstats.com/fighter-details/c11036da9162cb5f,,185,1500
Patricia,Alujas,The Angel,9,3,0,False,163,115,64.0,Orthodox,"May 08, 1996",http://ufcstats.com/fighter-details/430c533614d45813,64,115,1500
Eddie,Alvarez,,29,6,0,False,175,155,69.0,Orthodox,"Jan 11, 1984",http://ufcstats.com/fighter-details/33a331684283900f,69,155,1550
Jaime,Alvarez,,6,1,0,False,173,125,69.0,Orthodox,"Mar 08, 1988",http://ufcstats.com/fighter-details/4438482bd1d5a029,69,125,1500
Joel,Alvarez,El Fenomeno,22,3,0,False,190,155,77.0,Orthodox,"Mar 02, 1993",http://ufcstats.com/fighter-details/58bbef3770bb2dfc,77,155,1601
Sean,Alvarez,,4,3,0,False,183,235,,Orthodox,"Jul 14, 1971",http://ufcstats.com/fighter-details/e741536153227386,,235,1479
Amilcar,Alves,,15,12,0,False,183,170,,Southpaw,"Aug 08, 1988",http://ufcstats.com/fighter-details/dc5a6b2fdb27e7dc,,170,1463
Anthony,Alves,,1,4,0,False,,,,,,http://ufcstats.com/fighter-details/bd92cf5da5413d2a,,,1500
Rafael,Alves,The Turn,20,12,0,False,173,155,68.0,Orthodox,"Nov 14, 1990",http://ufcstats.com/fighter-details/029afd138865d20a,68,155,1469
Thiago,Alves,Pitbull,23,15,0,False,175,170,70.0,Orthodox,"Oct 03, 1983",http://ufcstats.com/fighter-details/31ee470ef5dc8d7f,70,170,1523
Warlley,Alves,,15,8,0,False,180,185,72.0,Orthodox,"Jan 04, 1991",http://ufcstats.com/fighter-details/d317a5e2b3f88c5f,72,185,1484
Sam,Alvey,Smile ftN,33,18,1,False,188,185,75.0,Southpaw,"May 06, 1986",http://ufcstats.com/fighter-details/d156513a19acf856,75,185,1434
Mahamed,Aly,,4,0,0,False,,205,,,"Jan 11, 1994",http://ufcstats.com/fighter-details/86c1441676af2c73,,205,1500
Andre,Amado,Dida,6,4,1,False,183,154,,Orthodox,,http://ufcstats.com/fighter-details/20821819c401ced8,,154,1500
Adlan,Amagov,Borz,14,2,1,False,188,170,76.0,Orthodox,"Oct 30, 1986",http://ufcstats.com/fighter-details/1e327b281ef6a745,76,170,1541
Maiara,Amanajas dos Santos,,7,3,0,False,165,115,,Southpaw,"Jul 11, 1987",http://ufcstats.com/fighter-details/247fbbfafea60bb1,,115,1500
Chris,Amarante,,2,0,0,False,,185,,,,http://ufcstats.com/fighter-details/ee0b69e307c857e5,,185,1500
Jimmy,Ambriz,The Titan,17,21,1,False,188,315,,Southpaw,"Jan 26, 1970",http://ufcstats.com/fighter-details/c912f676692c353a,,315,1500
JJ,Ambrose,,28,7,0,False,178,170,,Orthodox,,http://ufcstats.com/fighter-details/d562b12b8fe88336,,170,1500
Alen,Amedovski,,8,4,0,False,178,185,74.0,Orthodox,"Apr 06, 1988",http://ufcstats.com/fighter-details/70fa1c64a2c439ef,74,185,1424
Hyder,Amil,The Hurricane,11,1,0,False,175,145,70.0,Switch,"May 28, 1990",http://ufcstats.com/fighter-details/41cc71cbf210e0fe,70,145,1538
Hamid,Amiri,The Storm,9,0,0,False,,145,,,"Jun 15, 2003",http://ufcstats.com/fighter-details/6c40705cf6c0d7e2,,145,1500
Makwan,Amirkhani,Mr. Finland,17,9,0,False,178,145,72.0,Southpaw,"Nov 08, 1988",http://ufcstats.com/fighter-details/87a1dc546b1c5caf,72,145,1490
Jaqueline,Amorim,,10,1,0,False,160,115,68.0,Orthodox,"Jun 24, 1995",http://ufcstats.com/fighter-details/bc7d1ad49fcb2d08,68,115,1559
Bertrand,Amoussou,,1,1,0,False,173,190,,Orthodox,,http://ufcstats.com/fighter-details/53adf5b845d91e4a,,190,1500
Karl,Amoussou,The Psycho,27,7,2,False,180,185,,Orthodox,"Nov 21, 1985",http://ufcstats.com/fighter-details/23a8c33869bf5392,,185,1500
Eryk,Anders,Ya Boi,17,8,0,False,185,185,75.0,Southpaw,"Apr 21, 1987",http://ufcstats.com/fighter-details/cad24459b28592ca,75,185,1533
Matt,Andersen,,14,8,1,False,188,230,,Southpaw,"May 29, 1971",http://ufcstats.com/fighter-details/8738eacd62e82a32,,230,1480
Andy,Anderson,The Hammer,0,1,0,False,168,240,,,"Jul 16, 1974",http://ufcstats.com/fighter-details/9199e0735b83dd32,,240,1480
Corey,Anderson,Overtime,14,5,0,False,190,205,79.0,Orthodox,"Sep 22, 1989",http://ufcstats.com/fighter-details/5e4eec08896c9423,79,205,1590
Derek,Anderson,Barbaric,14,3,0,False,183,155,,,"Feb 02, 1990",http://ufcstats.com/fighter-details/19ba965651486013,,155,1500
Liam,Anderson,,6,3,0,False,190,185,75.0,Orthodox,"Jan 13, 1995",http://ufcstats.com/fighter-details/b03a0c78ca45facf,75,185,1500
Lowell,Anderson,,0,1,0,False,168,160,,Orthodox,,http://ufcstats.com/fighter-details/1ffc38f67785797b,,160,1480
Megan,Anderson,,11,5,0,False,183,145,72.0,Orthodox,"Feb 11, 1990",http://ufcstats.com/fighter-details/a0e75f4a13eb73f1,72,145,1512
Tatsuya,Ando,Kirinji,14,4,1,False,163,145,68.0,Southpaw,"Apr 26, 1990",http://ufcstats.com/fighter-details/17615148dd4be6f6,68,145,1500
Alex,Andrade,El Toro,10,5,0,False,180,200,,Orthodox,"May 14, 1974",http://ufcstats.com/fighter-details/1562b12763cc8d67,,200,1479
Jessica,Andrade,Bate Estaca,26,14,0,False,155,115,62.0,Orthodox,"Sep 25, 1991",http://ufcstats.com/fighter-details/6a1901c62ab3870f,62,115,1574
Viscardi,Andrade,,19,6,0,False,180,170,75.0,Orthodox,"Mar 08, 1984",http://ufcstats.com/fighter-details/d221ee27afc7a60e,75,170,1537
Jermaine,Andre,,14,4,0,False,170,200,,Orthodox,,http://ufcstats.com/fighter-details/9bad58fa651d6196,,200,1480
Juan,Andres Luna,,12,1,0,False,170,125,72.0,Orthodox,"Aug 20, 1995",http://ufcstats.com/fighter-details/1fd9f744105024a8,72,125,1500
Fellipe,Andrew,,0,0,0,False,,,,,"Oct 24, 1994",http://ufcstats.com/fighter-details/7977fb0fd9c5955d,,,1500
Dylan,Andrews,The Villain,18,7,0,False,185,185,74.0,Switch,"Nov 15, 1979",http://ufcstats.com/fighter-details/00debc804e2b1cd4,74,185,1474
Reese,Andy,Riptide,7,3,0,False,183,205,,Orthodox,"Mar 31, 1973",http://ufcstats.com/fighter-details/46e2ca71fd5089cb,,205,1465
,Angga,The Hitman,13,3,0,False,170,145,68.0,Orthodox,"Jan 13, 1989",http://ufcstats.com/fighter-details/d6a3e131ad4ba064,68,145,1500
Julius,Anglickas,,5,1,0,False,190,205,,Orthodox,"Jul 23, 1991",http://ufcstats.com/fighter-details/e20ad078a7d63361,,205,1500
Collin,Anglin,,8,3,0,False,175,145,71.0,Orthodox,"Feb 20, 1993",http://ufcstats.com/fighter-details/047a91d3d9c79b05,71,145,1462
Chad,Anheliger,The Monster,13,8,0,False,168,135,64.0,Orthodox,"Dec 01, 1986",http://ufcstats.com/fighter-details/c7c39e2fb70248b3,64,135,1477
Yoji,Anjo,Mr. 200%,0,5,1,False,180,205,,Orthodox,"Mar 28, 1967",http://ufcstats.com/fighter-details/e06fd1260ac865a7,,205,1444
Magomed,Ankalaev,,21,1,1,True,190,205,75.0,Orthodox,"Jun 02, 1992",http://ufcstats.com/fighter-details/d802174b0c0c1f4e,75,205,1700
Gadzhimurad,Antigulov,,20,8,0,False,180,205,70.0,Orthodox,"Feb 09, 1987",http://ufcstats.com/fighter-details/af997f7611673880,70,205,1459
Adam,Antolin,Captain Chaos,12,3,0,False,165,125,63.0,Orthodox,"Feb 28, 1982",http://ufcstats.com/fighter-details/25b31165758402dd,63,125,1500
Angelo,Antonio,,1,4,0,False,,205,,Orthodox,,http://ufcstats.com/fighter-details/dbd198f780286aca,,205,1500
Vanilto,Antunes,,16,7,0,False,183,170,72.0,Orthodox,"Dec 28, 1994",http://ufcstats.com/fighter-details/cc49ada1ea955b13,72,170,1500
Azunna,Anyanwu,Zulu,14,5,0,False,185,251,,Orthodox,"Aug 05, 1981",http://ufcstats.com/fighter-details/78d48d3874dacafd,,251,1482
Shinsho,Anzai,Animal,10,3,0,False,170,170,70.0,Orthodox,"Dec 01, 1985",http://ufcstats.com/fighter-details/4665f9f909cd7214,70,170,1504
Jin,Aoi,,14,6,1,False,168,145,68.0,Orthodox,"Jan 21, 1997",http://ufcstats.com/fighter-details/031da10a00c8ccd4,68,145,1500
Shinya,Aoki,Tobikan Judan,39,7,0,False,180,154,,Southpaw,"May 09, 1983",http://ufcstats.com/fighter-details/79ded75550efc139,,154,1500
,Aoriqileng,The Mongolian Murderer,25,12,0,False,170,135,69.0,Orthodox,"Jun 25, 1993",http://ufcstats.com/fighter-details/7d420039bbfe7c1a,69,135,1484
Josh,Appelt,,15,7,0,False,178,255,,Southpaw,"Jun 19, 1983",http://ufcstats.com/fighter-details/0c1a04afca64e38f,,255,1500
Erik,Apple,,10,3,0,False,183,170,,Orthodox,"Aug 26, 1977",http://ufcstats.com/fighter-details/1ccff7f0cfdf85eb,,170,1500
Kenji,Arai,,15,15,5,False,178,145,,Southpaw,"Oct 05, 1979",http://ufcstats.com/fighter-details/269d103c96a4c3a5,,145,1500
Romie,Aram,,7,1,0,False,178,170,,Orthodox,"Dec 02, 1977",http://ufcstats.com/fighter-details/73ef22f25d0f70e2,,170,1480
Felipe,Arantes,Sertanejo,18,10,1,False,173,135,73.0,Orthodox,"Feb 09, 1988",http://ufcstats.com/fighter-details/71002dbc1743b9a7,73,135,1481
Igor,Araujo,,25,9,0,False,185,170,77.0,Orthodox,"Dec 06, 1980",http://ufcstats.com/fighter-details/dbea8c1cb327ab3d,77,170,1500
Viviane,Araujo,Vivi,13,7,0,False,163,125,68.0,Orthodox,"Nov 21, 1986",http://ufcstats.com/fighter-details/36541f1e6c5d4955,68,125,1526
Julio,Arce,,19,6,0,False,170,145,70.0,Southpaw,"Oct 27, 1989",http://ufcstats.com/fighter-details/1291edf2d566a71a,70,145,1536
Art,Arciniega,King Arthur,15,7,0,False,173,145,,,"Oct 15, 1981",http://ufcstats.com/fighter-details/d25e39e74efb0a77,,145,1500
Alice,Ardelean,,10,7,0,False,160,115,62.0,Orthodox,"Apr 19, 1992",http://ufcstats.com/fighter-details/87f8699fdcc2c404,62,115,1479
Tristan,Arenal,,7,4,0,False,,155,,,,http://ufcstats.com/fighter-details/9c9455912d917e4e,,155,1500
Gabriel,Arges,,0,0,0,False,,170,,,"Jan 29, 1993",http://ufcstats.com/fighter-details/db3c4a884d704efe,,170,1500
Dan,Argueta,The Determined,9,3,0,False,170,135,68.0,Southpaw,"Aug 13, 1993",http://ufcstats.com/fighter-details/e4ba58725825412d,68,135,1463
Reza,Arianto,The Crazy Lion,5,0,0,False,,155,,,,http://ufcstats.com/fighter-details/90063913321e7670,,155,1500
Hashem,Arkhagha,,6,1,0,False,188,185,75.0,Orthodox,"Sep 11, 1989",http://ufcstats.com/fighter-details/9a7ffa80766caa51,75,185,1500
Andrei,Arlovski,The Pitbull,34,24,0,False,190,240,77.0,Orthodox,"Feb 04, 1979",http://ufcstats.com/fighter-details/3738e68d2261e60f,77,240,1517
Garrett,Armfield,,10,5,0,False,168,135,70.0,Orthodox,"Oct 09, 1996",http://ufcstats.com/fighter-details/1effd880e1f1bb30,70,135,1480
Joey,Armstrong,,5,2,0,False,,,,,,http://ufcstats.com/fighter-details/30ad2050273d016a,,,1500
